ECU_ID,Manufacturing_Line_ID,Process_Stage,Temperature,Pressure,Speed,Alignment_Tolerance,Voltage,Current,Defect_Rate_in_Batch,Material_Quality_Indicator,Assembly_Errors,Quality_Check_Results,Production_Time,Rework_Count,Factory_Temperature,Humidity_Levels,Operator_ID,Historical_Failure_Rate,Anomaly_Score,Manufacturing_Error
ECU_25,Line_B,Soldering,169.53,1.38,51.84,0.044,4.2,0.55,3.88,Low,3,Fail,15.42,3,21.21,36.36,Operator_10,3.0,0.95,1
ECU_26,Line_C,Testing,192.02,1.26,43.39,0.076,4.38,0.58,3.62,High,5,Fail,12.48,2,23.55,55.96,Operator_14,4.53,0.26,0
ECU_27,Line_C,Soldering,192.81,1.32,78.03,0.019,4.72,1.32,3.71,High,5,Pass,7.2,0,26.63,36.15,Operator_9,2.77,0.6,0
ECU_28,Line_A,Packaging,189.37,1.36,32.7,0.013,4.02,0.6,2.6,High,2,Fail,5.23,1,32.8,37.32,Operator_1,1.08,1.0,0
ECU_29,Line_C,Packaging,265.62,1.09,72.37,0.044,4.77,1.1,2.84,Low,0,Fail,12.47,2,25.45,66.76,Operator_6,0.56,0.47,1
ECU_30,Line_A,Soldering,288.52,0.97,34.23,0.041,4.79,0.82,0.74,Low,5,Fail,11.69,1,32.54,48.48,Operator_17,6.16,0.11,0
ECU_31,Line_A,Soldering,235.62,1.39,65.99,0.025,3.54,0.45,1.78,Low,2,Fail,14.39,1,23.54,38.35,Operator_20,1.21,0.22,0
ECU_32,Line_C,Testing,196.66,1.33,88.43,0.022,3.97,0.75,4.16,High,5,Pass,11.56,3,23.65,56.87,Operator_6,7.55,0.16,1
ECU_33,Line_C,Testing,264.61,1.12,63.92,0.087,3.52,1.05,0.59,High,5,Fail,13.01,2,25.63,42.59,Operator_2,4.62,0.24,0
ECU_34,Line_B,Assembly,284.29,1.45,59.38,0.05,3.75,1.46,1.11,Low,5,Pass,7.39,1,31.59,60.99,Operator_3,3.79,0.17,0
ECU_35,Line_A,Packaging,195.44,0.9,32.05,0.065,3.13,0.74,0.93,Low,2,Fail,14.68,0,31.31,45.89,Operator_1,2.26,0.83,0
ECU_36,Line_A,Testing,265.82,1.28,50.42,0.012,4.09,0.98,2.89,High,2,Fail,12.37,0,28.97,58.77,Operator_15,9.51,0.42,1
ECU_37,Line_C,Packaging,152.53,1.32,29.6,0.062,3.04,0.77,2.43,Medium,3,Fail,8.79,3,28.84,42.3,Operator_5,3.3,0.31,1
ECU_38,Line_A,Testing,166.03,1.4,78.35,0.072,4.23,0.12,1.15,Low,4,Fail,8.44,1,33.56,63.91,Operator_2,6.43,0.33,0
ECU_39,Line_B,Assembly,282.66,1.18,30.07,0.026,4.08,0.66,0.91,High,2,Fail,16.24,3,26.25,50.4,Operator_3,0.27,0.24,1
ECU_40,Line_C,Packaging,204.55,0.8,56.04,0.048,3.36,0.16,3.39,High,2,Pass,18.41,2,26.85,66.02,Operator_11,7.83,0.56,1
ECU_41,Line_A,Packaging,218.65,1.4,42.99,0.024,3.86,0.84,1.14,Low,3,Pass,12.98,3,28.41,48.83,Operator_7,1.2,0.29,1
ECU_42,Line_B,Packaging,283.68,1.32,56.99,0.048,4.58,1.37,1.78,High,4,Fail,17.09,0,29.7,62.02,Operator_7,9.83,0.02,0
ECU_43,Line_A,Packaging,170.86,1.35,40.75,0.099,4.7,1.37,3.96,Low,2,Fail,12.88,2,30.79,40.41,Operator_17,8.02,0.6,0
ECU_44,Line_C,Soldering,276.39,0.91,94.84,0.07,4.23,0.62,2.91,Medium,0,Fail,12.54,3,21.0,30.31,Operator_6,6.39,0.69,0
ECU_45,Line_B,Soldering,174.99,0.9,62.94,0.038,4.7,0.86,2.89,Medium,1,Pass,12.91,3,28.11,37.13,Operator_12,7.86,0.07,1
ECU_46,Line_C,Soldering,261.45,1.29,66.31,0.01,3.43,0.47,1.69,Medium,4,Pass,16.78,2,30.41,40.45,Operator_13,8.86,0.68,0
ECU_47,Line_A,Soldering,265.2,1.01,60.53,0.086,3.29,0.84,0.7,Medium,4,Fail,6.09,3,24.75,54.73,Operator_2,6.23,0.69,1
ECU_48,Line_C,Packaging,206.27,0.9,44.76,0.096,3.3,1.05,1.21,Low,5,Pass,7.57,1,29.05,35.6,Operator_19,6.64,0.78,1
ECU_49,Line_C,Soldering,284.17,1.29,49.03,0.043,3.58,0.11,3.67,High,1,Pass,17.95,3,31.72,48.1,Operator_10,6.14,0.85,0
ECU_50,Line_A,Assembly,232.58,1.08,28.19,0.018,3.22,0.19,3.35,Medium,0,Fail,7.19,3,31.36,56.03,Operator_17,6.63,0.08,1
ECU_51,Line_C,Assembly,284.92,0.85,76.43,0.085,4.33,1.46,2.83,High,5,Pass,12.38,2,24.06,40.41,Operator_1,4.32,0.06,0
ECU_52,Line_B,Packaging,282.98,1.13,71.76,0.085,3.7,0.81,0.84,Medium,0,Fail,5.23,3,34.09,66.38,Operator_9,8.73,0.11,0
ECU_53,Line_A,Assembly,256.67,1.09,67.2,0.049,3.9,1.01,3.25,Medium,4,Fail,9.86,1,34.22,39.49,Operator_10,4.14,0.36,0
ECU_54,Line_A,Testing,255.5,1.17,73.88,0.076,4.43,1.44,2.38,High,0,Fail,15.84,0,34.6,42.29,Operator_14,9.76,0.11,0
ECU_55,Line_B,Assembly,249.28,1.41,64.19,0.02,3.07,1.05,4.63,Medium,1,Pass,11.33,3,28.76,64.88,Operator_1,3.29,0.78,0
ECU_56,Line_C,Testing,239.19,1.23,92.69,0.019,4.5,0.48,1.08,Medium,3,Pass,18.56,1,33.19,53.73,Operator_14,9.17,0.71,0
ECU_57,Line_A,Assembly,211.96,1.4,34.42,0.078,3.3,1.46,3.34,High,0,Pass,9.9,3,25.14,51.68,Operator_5,0.84,0.18,0
ECU_58,Line_C,Testing,290.26,0.87,99.55,0.024,4.29,0.97,0.27,Medium,3,Pass,18.32,0,26.66,56.01,Operator_7,9.61,0.11,1
ECU_59,Line_C,Packaging,223.1,1.28,30.74,0.066,3.72,1.12,0.21,Medium,1,Fail,18.19,0,25.46,61.36,Operator_16,2.12,0.77,0
ECU_60,Line_C,Packaging,184.22,1.45,82.01,0.012,4.4,0.38,3.9,Medium,4,Pass,18.07,1,21.09,39.13,Operator_10,9.12,0.88,0
ECU_61,Line_B,Packaging,262.85,1.39,35.63,0.084,3.77,0.35,3.02,Low,1,Pass,15.44,3,33.2,55.4,Operator_9,5.08,0.93,1
ECU_62,Line_B,Packaging,249.45,1.32,65.31,0.073,3.44,0.46,2.15,Low,4,Fail,18.08,2,30.13,51.45,Operator_13,7.9,0.09,1
ECU_63,Line_B,Assembly,209.64,0.88,76.56,0.038,4.39,0.25,4.83,Low,5,Pass,19.77,1,28.76,54.28,Operator_3,3.11,0.15,1
ECU_64,Line_A,Assembly,151.19,1.27,65.44,0.017,3.57,0.9,2.0,Medium,1,Pass,7.7,0,30.82,52.98,Operator_14,6.61,0.61,1
ECU_65,Line_C,Packaging,282.15,1.47,66.63,0.088,4.92,0.9,3.68,High,5,Fail,5.19,3,20.34,41.52,Operator_8,8.31,0.49,0
ECU_66,Line_A,Packaging,279.67,1.34,64.93,0.012,4.9,0.99,2.19,High,3,Fail,8.38,3,31.04,54.67,Operator_11,0.44,0.78,0
ECU_67,Line_B,Assembly,251.43,0.83,88.82,0.037,4.31,0.54,4.7,Medium,5,Fail,11.73,1,27.97,68.03,Operator_16,4.87,0.83,0
ECU_68,Line_A,Packaging,165.03,1.21,89.0,0.1,4.5,1.19,0.64,High,0,Fail,18.22,0,23.63,39.06,Operator_16,0.77,0.92,0
ECU_69,Line_B,Soldering,159.29,1.45,71.67,0.036,4.71,0.99,2.78,High,2,Pass,15.51,3,31.99,44.84,Operator_4,6.94,0.09,1
ECU_70,Line_A,Packaging,222.1,1.16,74.63,0.089,3.54,0.71,1.39,Medium,0,Pass,10.92,2,25.25,42.89,Operator_15,1.5,0.4,0
ECU_71,Line_B,Packaging,239.73,1.14,79.34,0.065,3.99,0.4,1.08,Low,1,Fail,15.65,1,29.97,69.54,Operator_6,2.19,0.56,1
ECU_72,Line_C,Soldering,244.67,1.04,94.04,0.025,3.79,0.51,2.94,Low,3,Fail,14.05,0,31.01,56.49,Operator_19,4.53,0.76,0
ECU_73,Line_A,Soldering,247.03,0.84,37.44,0.095,3.66,1.02,2.64,Medium,3,Pass,14.57,1,23.1,48.74,Operator_18,9.96,0.13,1
ECU_74,Line_A,Soldering,214.95,1.48,64.75,0.033,3.48,0.92,0.65,High,0,Pass,5.12,0,20.39,33.45,Operator_1,1.96,0.99,0
ECU_75,Line_C,Packaging,298.01,0.89,66.67,0.057,3.32,0.38,3.36,Low,3,Fail,19.47,0,22.22,60.18,Operator_15,7.15,0.17,1
ECU_76,Line_C,Packaging,195.29,0.88,25.23,0.019,3.36,0.51,3.64,Medium,2,Fail,16.84,3,23.73,53.11,Operator_8,0.35,0.58,1
ECU_77,Line_A,Testing,246.22,1.38,41.57,0.092,4.79,0.74,3.96,High,4,Pass,18.14,2,29.81,65.85,Operator_20,8.25,0.53,0
ECU_78,Line_A,Assembly,152.51,0.88,77.74,0.044,3.43,0.68,1.77,High,1,Pass,7.45,0,21.58,30.61,Operator_14,9.69,0.37,1
ECU_79,Line_A,Packaging,240.9,1.02,90.97,0.063,3.3,0.4,2.83,Low,0,Fail,10.64,2,21.51,65.54,Operator_12,8.79,0.38,1
ECU_80,Line_B,Assembly,157.49,1.36,36.06,0.06,3.54,0.36,3.55,High,2,Fail,7.8,0,31.39,66.81,Operator_6,4.69,0.03,0
ECU_81,Line_B,Testing,230.66,0.98,87.35,0.026,3.7,0.96,2.8,Low,3,Fail,13.3,2,23.52,50.35,Operator_16,2.95,0.09,0
ECU_82,Line_C,Soldering,298.41,1.48,45.25,0.013,4.06,0.62,2.64,High,2,Fail,14.87,0,21.95,54.46,Operator_6,3.19,0.75,0
ECU_83,Line_C,Packaging,247.35,1.11,97.38,0.04,4.65,1.19,3.81,High,4,Fail,12.73,0,29.03,62.96,Operator_7,5.1,0.74,1
ECU_84,Line_B,Testing,187.16,1.3,49.09,0.077,4.43,0.6,4.41,High,1,Fail,11.7,2,28.52,65.76,Operator_13,8.19,0.46,0
ECU_85,Line_C,Soldering,156.98,1.38,93.14,0.078,4.49,0.44,0.33,High,1,Pass,5.85,2,31.58,50.83,Operator_1,3.87,0.23,1
ECU_86,Line_C,Assembly,183.09,1.1,80.73,0.022,4.93,0.47,0.72,Low,5,Pass,18.43,0,32.15,40.74,Operator_1,9.39,0.21,0
ECU_87,Line_B,Testing,275.3,1.41,48.15,0.05,3.2,0.46,4.31,Medium,0,Fail,10.6,0,24.78,42.92,Operator_17,7.86,0.11,1
ECU_88,Line_B,Packaging,211.58,1.19,74.3,0.012,3.21,0.41,4.85,Low,1,Fail,5.66,0,30.55,38.96,Operator_20,1.35,0.33,1
ECU_89,Line_B,Soldering,193.88,0.81,38.67,0.027,3.0,0.5,3.15,Medium,3,Fail,10.28,3,32.24,69.55,Operator_19,1.13,0.45,1
ECU_90,Line_C,Testing,205.84,1.44,20.14,0.072,4.6,0.83,2.4,Medium,0,Pass,5.64,1,29.77,45.99,Operator_15,9.05,0.3,1
ECU_91,Line_A,Soldering,202.76,0.9,51.34,0.075,3.01,0.95,4.07,Medium,2,Fail,6.85,3,27.66,52.69,Operator_19,7.34,0.55,1
ECU_92,Line_C,Assembly,249.23,1.27,42.55,0.04,3.46,1.37,4.88,Medium,0,Fail,19.36,0,29.87,50.69,Operator_18,2.42,0.28,0
ECU_93,Line_B,Assembly,172.8,0.93,75.45,0.036,3.96,0.94,1.06,Medium,4,Fail,5.38,2,32.51,59.9,Operator_6,3.94,0.1,1
ECU_94,Line_A,Assembly,286.27,1.29,57.92,0.05,4.97,0.11,1.94,Low,0,Pass,15.96,1,33.92,61.77,Operator_4,4.33,0.9,1
ECU_95,Line_B,Soldering,178.47,0.88,30.15,0.076,3.55,1.43,3.21,High,0,Fail,18.38,3,31.94,42.1,Operator_12,5.1,0.37,0
ECU_96,Line_A,Soldering,259.66,1.29,32.35,0.052,4.47,0.24,2.07,High,1,Pass,10.17,2,22.43,52.0,Operator_6,0.07,0.28,1
ECU_97,Line_B,Testing,153.41,1.14,79.8,0.027,3.36,1.5,1.75,Medium,4,Pass,14.29,0,20.15,35.35,Operator_17,1.41,0.21,0
ECU_98,Line_C,Assembly,225.93,1.35,20.22,0.081,4.73,1.36,1.74,High,5,Fail,16.48,1,22.6,63.82,Operator_10,0.68,0.57,1
ECU_99,Line_A,Soldering,159.84,1.09,38.27,0.081,4.67,0.15,4.21,Medium,2,Fail,9.36,1,30.61,40.6,Operator_4,7.95,0.37,0
ECU_100,Line_B,Packaging,197.21,1.46,31.65,0.049,4.65,0.38,0.69,Medium,1,Fail,12.88,2,22.54,47.87,Operator_5,9.56,0.61,0
ECU_101,Line_C,Assembly,198.64,1.41,55.26,0.078,4.87,0.85,0.66,Medium,3,Pass,15.51,0,32.66,56.99,Operator_2,7.61,0.14,1
ECU_102,Line_A,Soldering,205.94,0.91,23.03,0.045,3.8,0.34,2.23,High,1,Pass,13.33,3,25.37,53.1,Operator_4,6.93,0.29,1
ECU_103,Line_A,Testing,209.55,1.45,57.16,0.029,3.98,0.19,3.15,Low,0,Pass,14.95,3,26.43,45.75,Operator_11,8.18,0.96,0
ECU_104,Line_B,Packaging,230.69,1.45,46.1,0.012,3.54,0.87,2.65,High,4,Pass,12.66,2,23.27,30.56,Operator_5,9.91,0.26,0
ECU_105,Line_B,Testing,204.21,1.41,30.31,0.06,4.83,1.03,2.22,Low,5,Fail,19.69,2,28.2,68.95,Operator_8,6.48,0.33,0
ECU_106,Line_A,Testing,256.25,1.44,97.14,0.027,4.19,1.37,4.54,Medium,1,Pass,14.62,3,29.86,45.05,Operator_6,2.65,0.48,0
ECU_107,Line_A,Assembly,287.83,1.15,25.76,0.075,4.8,0.37,0.91,High,3,Fail,5.56,0,21.86,60.35,Operator_16,8.51,0.57,0
ECU_108,Line_C,Testing,271.08,1.31,81.16,0.068,3.48,1.06,2.99,Low,0,Pass,16.15,1,24.5,61.22,Operator_2,8.26,0.07,0
ECU_109,Line_A,Packaging,265.74,1.05,37.16,0.021,3.47,0.73,2.15,High,2,Fail,16.02,3,22.15,62.31,Operator_6,4.82,0.91,1
ECU_110,Line_C,Assembly,222.11,0.92,87.6,0.08,4.1,0.63,1.23,Low,2,Pass,16.59,2,21.05,38.89,Operator_10,7.27,0.25,0
ECU_111,Line_C,Soldering,235.98,1.18,94.74,0.017,3.17,1.46,3.84,High,2,Fail,15.48,0,29.98,62.27,Operator_12,7.12,0.63,1
ECU_112,Line_B,Soldering,165.93,1.45,48.64,0.066,4.76,0.17,2.68,Low,4,Pass,13.27,1,23.97,64.23,Operator_3,6.12,0.8,1
ECU_113,Line_A,Packaging,261.71,1.18,38.2,0.064,3.24,1.46,1.16,Low,3,Fail,7.98,1,30.99,63.26,Operator_13,6.09,0.27,0
ECU_114,Line_C,Packaging,218.33,1.2,66.91,0.05,3.57,1.24,4.35,High,5,Fail,18.69,3,28.53,39.61,Operator_12,1.56,0.61,0
ECU_115,Line_C,Packaging,194.21,0.89,25.53,0.017,3.32,1.27,1.45,Medium,3,Fail,15.77,1,27.57,34.64,Operator_7,7.6,0.87,0
ECU_116,Line_B,Soldering,295.43,0.92,62.91,0.035,3.27,0.46,2.5,High,0,Pass,6.67,2,29.65,44.29,Operator_11,4.35,0.27,1
ECU_117,Line_A,Assembly,294.14,0.87,29.76,0.011,4.45,0.62,1.24,High,5,Pass,8.83,2,34.21,62.24,Operator_12,4.04,0.08,0
ECU_118,Line_B,Assembly,238.25,1.4,24.34,0.026,3.68,0.44,0.52,High,5,Fail,8.9,3,23.05,65.32,Operator_14,8.45,0.95,0
ECU_119,Line_B,Soldering,228.74,1.14,36.91,0.095,3.49,0.24,0.81,High,1,Pass,19.52,3,28.53,39.74,Operator_10,2.9,0.36,1
ECU_120,Line_C,Soldering,239.22,0.83,72.41,0.015,3.26,1.17,1.33,Low,0,Pass,14.26,0,31.32,44.09,Operator_4,3.27,0.47,1
ECU_121,Line_B,Assembly,278.22,0.85,99.68,0.028,4.58,1.13,1.76,Low,0,Fail,7.19,2,26.85,53.43,Operator_2,9.41,0.55,0
ECU_122,Line_C,Testing,252.87,1.26,94.2,0.075,4.83,0.21,3.24,Low,4,Fail,17.52,2,23.02,54.51,Operator_6,5.83,0.03,1
ECU_123,Line_C,Packaging,155.92,1.13,54.21,0.06,4.15,0.37,0.48,High,5,Fail,13.0,0,31.81,34.0,Operator_15,7.13,0.56,1
ECU_124,Line_A,Assembly,178.31,1.23,76.74,0.081,4.92,0.15,0.93,High,3,Pass,19.17,3,32.94,67.87,Operator_2,3.36,0.98,1
ECU_125,Line_C,Assembly,228.59,1.05,67.4,0.024,4.26,0.16,4.42,Medium,2,Fail,12.09,2,21.98,51.69,Operator_5,2.17,0.48,0
ECU_126,Line_B,Packaging,219.4,0.98,79.63,0.065,3.26,1.05,4.72,Medium,2,Pass,7.19,0,32.87,66.72,Operator_15,8.32,0.12,0
ECU_127,Line_A,Testing,270.9,1.34,80.82,0.057,4.17,1.02,0.94,Low,3,Pass,6.06,2,21.4,45.06,Operator_3,4.92,0.85,1
ECU_128,Line_A,Packaging,168.41,0.99,28.93,0.098,3.46,0.24,1.97,Medium,3,Fail,7.73,2,31.14,51.14,Operator_5,3.74,0.03,1
ECU_129,Line_C,Packaging,278.71,1.39,43.87,0.067,4.1,0.78,1.57,Medium,0,Pass,18.25,0,28.35,34.19,Operator_2,0.62,0.37,0
ECU_130,Line_B,Soldering,298.14,1.18,68.15,0.045,3.19,1.36,2.96,Medium,4,Fail,5.99,2,31.1,52.84,Operator_18,4.79,0.33,0
ECU_131,Line_C,Assembly,263.03,0.91,77.54,0.04,3.57,0.37,4.98,Low,2,Fail,17.3,1,23.75,52.06,Operator_13,5.98,0.02,0
ECU_132,Line_C,Testing,171.46,1.15,98.89,0.055,3.0,0.54,1.88,Low,1,Pass,18.78,1,23.06,59.93,Operator_4,2.53,0.89,0
ECU_133,Line_A,Testing,200.07,1.09,35.59,0.074,4.55,0.89,1.29,Medium,0,Pass,12.87,0,23.63,56.94,Operator_15,1.67,0.3,1
ECU_134,Line_A,Soldering,196.16,0.84,69.47,0.09,4.08,0.64,4.89,Medium,4,Fail,10.83,3,29.03,36.69,Operator_18,5.22,0.05,1
ECU_135,Line_A,Soldering,204.79,1.14,31.06,0.072,4.49,1.47,3.91,Low,1,Fail,6.12,1,29.55,39.34,Operator_20,0.5,0.84,0
ECU_136,Line_B,Soldering,247.21,1.37,23.27,0.033,4.76,0.85,0.78,Low,4,Pass,14.48,3,24.49,56.95,Operator_5,6.42,0.84,1
ECU_137,Line_B,Assembly,274.61,1.13,62.38,0.064,3.13,1.27,0.25,High,5,Pass,15.33,2,29.58,40.4,Operator_20,5.78,0.95,1
ECU_138,Line_C,Soldering,276.3,1.12,38.25,0.027,3.08,1.45,0.35,Medium,1,Pass,10.52,2,28.4,43.59,Operator_2,1.14,0.53,1
ECU_139,Line_C,Testing,178.03,1.36,99.53,0.018,4.91,1.34,3.97,High,3,Fail,18.67,1,27.35,36.88,Operator_6,3.14,0.55,1
ECU_140,Line_B,Soldering,198.68,1.38,43.96,0.037,4.92,0.7,2.64,Low,0,Pass,12.86,0,27.85,56.05,Operator_17,9.58,0.01,0
ECU_141,Line_B,Packaging,155.96,0.93,50.94,0.089,4.7,0.38,2.18,Low,1,Pass,19.44,2,26.38,59.8,Operator_11,1.04,0.44,1
ECU_142,Line_A,Assembly,259.59,1.25,57.9,0.016,4.59,0.2,3.06,Low,0,Pass,18.01,1,25.12,69.32,Operator_7,3.99,0.88,1
ECU_143,Line_A,Packaging,209.97,0.81,50.95,0.047,3.39,0.19,4.46,Medium,5,Pass,14.35,3,24.64,62.38,Operator_10,1.89,0.3,1
ECU_144,Line_B,Packaging,279.68,1.15,85.44,0.045,4.58,0.79,2.37,Low,1,Fail,14.48,3,27.79,31.57,Operator_7,5.95,0.84,0
ECU_145,Line_A,Soldering,244.64,1.18,63.66,0.022,4.15,1.48,3.53,Low,5,Fail,18.46,2,30.72,37.18,Operator_7,8.74,0.34,0
ECU_146,Line_C,Testing,257.25,0.97,88.31,0.092,4.39,1.45,4.34,Low,0,Fail,12.95,2,22.17,61.87,Operator_18,2.42,0.93,1
ECU_147,Line_A,Testing,236.48,0.92,32.73,0.094,3.69,0.76,1.93,Low,2,Pass,13.34,0,30.65,63.35,Operator_11,9.51,0.91,0
ECU_148,Line_A,Packaging,292.47,0.93,50.4,0.011,4.08,0.94,0.95,Low,4,Pass,6.28,3,22.74,31.93,Operator_2,5.23,0.56,0
ECU_149,Line_B,Testing,196.93,1.1,33.85,0.05,3.25,1.2,2.33,High,2,Pass,15.72,2,27.98,45.35,Operator_4,5.83,0.6,0
ECU_150,Line_B,Packaging,266.68,1.34,68.14,0.046,3.96,0.64,4.42,Medium,1,Fail,15.21,2,31.08,38.32,Operator_20,9.47,0.25,1
ECU_151,Line_B,Testing,218.5,0.9,76.17,0.014,3.38,1.29,1.14,High,1,Fail,17.16,3,33.12,54.57,Operator_2,0.25,0.67,0
ECU_152,Line_B,Packaging,167.27,1.01,92.66,0.041,4.12,1.13,3.23,High,1,Pass,10.22,0,24.72,59.31,Operator_5,2.78,0.48,1
ECU_153,Line_A,Testing,289.71,0.85,84.25,0.024,4.56,1.33,4.08,Medium,4,Fail,10.99,0,31.37,42.93,Operator_20,6.27,0.52,1
ECU_154,Line_B,Packaging,192.75,1.03,96.83,0.087,3.05,0.64,3.16,High,5,Pass,12.06,2,34.18,45.86,Operator_14,3.84,0.49,1
ECU_155,Line_A,Packaging,161.57,1.36,83.78,0.072,4.68,0.84,2.21,Low,0,Pass,10.34,0,21.7,37.15,Operator_17,2.83,0.32,0
ECU_156,Line_A,Assembly,211.52,1.38,39.07,0.021,4.63,0.86,1.73,High,1,Fail,5.64,3,24.28,33.49,Operator_9,6.4,0.86,1
ECU_157,Line_C,Packaging,275.43,1.33,80.58,0.05,4.06,0.69,3.23,High,2,Pass,7.72,0,34.73,64.59,Operator_12,3.61,0.09,1
ECU_158,Line_A,Packaging,169.71,1.49,86.51,0.077,3.92,1.35,1.57,High,0,Pass,8.16,0,30.45,66.92,Operator_3,3.5,0.09,0
ECU_159,Line_C,Testing,208.6,1.32,26.2,0.041,3.25,0.99,4.8,Medium,4,Fail,7.33,0,31.85,64.71,Operator_16,1.33,0.95,1
ECU_160,Line_B,Soldering,215.12,1.47,24.17,0.045,4.29,0.12,4.51,High,5,Pass,6.84,2,29.52,53.85,Operator_7,7.94,0.33,1
ECU_161,Line_C,Assembly,222.07,0.96,81.17,0.081,3.59,1.37,0.63,Low,2,Fail,18.64,0,21.22,45.52,Operator_18,0.88,0.52,1
ECU_162,Line_A,Assembly,243.83,1.22,65.15,0.034,3.64,1.17,4.16,Low,1,Fail,10.58,0,23.22,55.32,Operator_10,2.84,0.41,0
ECU_163,Line_B,Assembly,163.91,1.41,69.07,0.088,3.92,0.57,4.76,Medium,1,Pass,5.55,2,21.02,36.79,Operator_10,6.45,0.63,0
ECU_164,Line_A,Testing,166.59,1.22,30.73,0.074,4.75,1.38,4.62,Medium,4,Fail,14.17,1,21.76,46.38,Operator_16,9.47,0.5,1
